created_at,dominant_color,image_square_url,image_medium_url,is_repin,repin_count,like_count
2014-02-12 01:44:30,#68696c,http://media-cache-ak0.pinimg.com/45x45/b1/52/28/b152285039c5e85643f0523ee6150900.jpg,http://media-cache-ak0.pinimg.com/200x/b1/52/28/b152285039c5e85643f0523ee6150900.jpg,False,0,0
2014-02-12 01:44:07,#66686b,http://media-cache-ak0.pinimg.com/45x45/18/47/0b/18470bf8cd831f58275b595421d4a6b3.jpg,http://media-cache-ak0.pinimg.com/200x/18/47/0b/18470bf8cd831f58275b595421d4a6b3.jpg,False,1,0
2014-02-12 01:43:55,#676768,http://media-cache-ak0.pinimg.com/45x45/9f/52/e7/9f52e7b209a2b66cd21ce871124625a5.jpg,http://media-cache-ak0.pinimg.com/200x/9f/52/e7/9f52e7b209a2b66cd21ce871124625a5.jpg,False,0,0
2014-02-11 22:28:47,#f3c1cd,http://media-cache-ak0.pinimg.com/45x45/26/e6/65/26e6657bccfc81abb97ae38e117c79f0.jpg,http://media-cache-ak0.pinimg.com/200x/26/e6/65/26e6657bccfc81abb97ae38e117c79f0.jpg,False,0,0
2014-02-11 22:28:18,#e1e2c0,http://media-cache-cd0.pinimg.com/45x45/46/6c/04/466c0498c07e04cd758925021e22e8d1.jpg,http://media-cache-cd0.pinimg.com/200x/46/6c/04/466c0498c07e04cd758925021e22e8d1.jpg,False,1,0
2014-02-11 22:28:03,#227767,http://media-cache-ak0.pinimg.com/45x45/19/c7/34/19c734cfb8e56e88323b0bb5aa1b6e63.jpg,http://media-cache-ak0.pinimg.com/200x/19/c7/34/19c734cfb8e56e88323b0bb5aa1b6e63.jpg,False,1,1
2014-02-11 22:24:51,#28ddbf,http://media-cache-ec0.pinimg.com/45x45/df/53/7e/df537ef7347e6513a02098640760fb10.jpg,http://media-cache-ec0.pinimg.com/200x/df/53/7e/df537ef7347e6513a02098640760fb10.jpg,False,0,0
2014-02-11 22:24:22,#f5f5f5,http://media-cache-ak0.pinimg.com/45x45/e6/e2/d9/e6e2d95e0790bcccbfa42279eee40f01.jpg,http://media-cache-ak0.pinimg.com/200x/e6/e2/d9/e6e2d95e0790bcccbfa42279eee40f01.jpg,False,2,0
2014-02-11 22:23:41,#cacacb,http://media-cache-ak0.pinimg.com/45x45/0c/56/28/0c562863e7c38cedb68b1d52de1f4a39.jpg,http://media-cache-ak0.pinimg.com/200x/0c/56/28/0c562863e7c38cedb68b1d52de1f4a39.jpg,False,1,1
2014-02-11 22:22:58,#da5645,http://media-cache-ec0.pinimg.com/45x45/6d/c6/c7/6dc6c7661c7a4a13c21d8b12fdc27fbc.jpg,http://media-cache-ec0.pinimg.com/200x/6d/c6/c7/6dc6c7661c7a4a13c21d8b12fdc27fbc.jpg,False,2,0
